H,k,eps,init,quantity,n_draws,n_degenerate,n,mean,std,min,q05,q25,q50,q75,q95,max,estimate,q50_over_estimate
128,16,1e-06,zero_bias,eps_principal_width,1000,1000,16000,0.00730839,0.00137816,0.00485075,0.00544003,0.00617926,0.00708885,0.00826173,0.00988169,0.0120068,,
128,16,1e-06,zero_bias,eps_principal_width_min,1000,1000,1000,0.0053576,0.000141976,0.00485075,0.00511966,0.00527234,0.00535601,0.00545092,0.00558714,0.00577693,,
128,16,1e-06,zero_bias,eps_principal_width_max,1000,1000,1000,0.0101659,0.000458007,0.00914018,0.00950541,0.00983981,0.0101291,0.0104221,0.0109626,0.0120068,,
128,16,1e-06,torch_default,median_r_star,1000,0,1000,0.933775,0.0448931,0.788825,0.859195,0.904186,0.935156,0.965478,1.00547,1.06225,0.931229,1.00422
128,16,1e-06,torch_default,principal_width,1000,0,16000,0.979448,0.190207,0.594909,0.721608,0.826614,0.949783,1.10859,1.33271,1.68265,,
128,16,1e-06,torch_default,principal_width_min,1000,0,1000,0.717981,0.0373122,0.594909,0.656187,0.692436,0.717665,0.744471,0.777827,0.834537,,
128,16,1e-06,torch_default,principal_width_max,1000,0,1000,1.36244,0.0881293,1.08542,1.22582,1.30353,1.35758,1.41469,1.51296,1.68265,,
128,16,1e-06,torch_default,norm_z_star,1000,0,1000,0.373219,0.0686101,0.128517,0.267591,0.32622,0.371053,0.414815,0.491757,0.615532,,
128,16,1e-06,torch_default,kappa,1000,0,1000,5.60271e-05,5.17975e-06,4.37529e-05,4.8559e-05,5.24054e-05,5.56559e-05,5.92087e-05,6.55291e-05,7.84327e-05,,
128,16,1e-05,zero_bias,eps_principal_width,1000,1000,16000,0.0231112,0.00435813,0.0153394,0.0172029,0.0195405,0.0224169,0.0261259,0.0312487,0.0379689,,
128,16,1e-05,zero_bias,eps_principal_width_min,1000,1000,1000,0.0169422,0.000448966,0.0153394,0.0161898,0.0166726,0.0169372,0.0172373,0.0176681,0.0182683,,
128,16,1e-05,zero_bias,eps_principal_width_max,1000,1000,1000,0.0321473,0.00144834,0.0289038,0.0300587,0.0311162,0.0320311,0.0329575,0.0346668,0.0379689,,
128,16,1e-05,torch_default,median_r_star,1000,0,1000,0.933775,0.0448931,0.788825,0.859195,0.904186,0.935156,0.965478,1.00547,1.06225,0.931229,1.00422
128,16,1e-05,torch_default,principal_width,1000,0,16000,0.979448,0.190207,0.594909,0.721608,0.826614,0.949783,1.10859,1.33271,1.68265,,
128,16,1e-05,torch_default,principal_width_min,1000,0,1000,0.717981,0.0373122,0.594909,0.656187,0.692436,0.717665,0.744471,0.777827,0.834537,,
128,16,1e-05,torch_default,principal_width_max,1000,0,1000,1.36244,0.0881293,1.08542,1.22582,1.30353,1.35758,1.41469,1.51296,1.68265,,
128,16,1e-05,torch_default,norm_z_star,1000,0,1000,0.373219,0.0686101,0.128517,0.267591,0.32622,0.371053,0.414815,0.491757,0.615532,,
